Province,Year,T2M_mean,T2M_std,T2M_max,T2M_min,T2M_MAX_max,T2M_MIN_min,RH2M_mean,RH2M_std,CLOUD_AMT_mean,PRECTOTCORR_sum,PRECTOTCORR_max,PRECTOTCORR_std,GWETPROF_mean,CLRSKY_SFC_SW_DWN_mean,hot_day_sum,cold_day_sum,rainy_day_sum,heavy_rain_sum,dry_day_sum,GDD_sum,rain_intensity,dry_ratio,hot_ratio,PRECTOTCORR_sum_lag1,T2M_mean_lag1,GDD_sum_lag1,Commodity,Yield,Elevation,Landcover,Lat,Lon,Ndvi_mean,Soil_clay,Soil_ph,Soil_sand,Soil_soc
Bình Thuận,2015,26.578109589041095,1.4338296866695273,29.73,22.55,35.06,18.1,77.55054794520548,7.990815588215336,56.45863013698631,1002.56,53.19,6.226928012533962,0.5266301369863013,24.268986301369864,1,0,114,13,86,6051.01,8.71791304347826,0.2356164383561644,0.0027397260273972,1121.08,26.299068493150685,5949.16,Khoai lang,5.625,9.0,50,10.9333,108.1,0.2803927536231884,28,6.4,42,0.2
Bình Thuận,2008,25.64877049180328,1.1931796437461395,28.49,22.61,33.53,18.51,82.82071038251367,6.397662632962668,68.42169398907104,1353.94,36.91,6.3488778029654815,0.6490437158469946,24.21398907103825,0,0,182,12,78,5727.45,7.398579234972677,0.2136986301369863,0.0,0.0,0.0,0.0,Lúa,4.652475247524753,9.0,50,10.9333,108.1,0.2803927536231884,28,6.4,42,0.2
Đà Nẵng,2016,25.813169398907107,3.2038668090495768,30.79,14.91,38.39,14.17,82.87336065573771,6.246152474111157,77.34625683060109,3204.8,123.95,17.212228605032895,0.727568306010929,22.687650273224044,19,0,227,43,22,5787.62,14.056140350877191,0.0602739726027397,0.0520547945205479,1547.9,25.76564383561644,5754.46,Khoai lang,7.0,9.0,50,16.0544,108.2022,0.2572008695652174,32,7.2,40,0.2
Quảng Bình,2014,25.697945205479453,3.613126997530805,30.65,16.48,33.69,15.43,83.11131506849316,6.274572873858471,76.16191780821917,1391.53,59.62,7.247231051068529,0.7084109589041095,22.330876712328767,0,0,187,19,23,5729.75,7.401755319148936,0.0630136986301369,0.0,1958.87,25.71413698630137,5735.66,Lúa mùa,1.6,10.0,50,17.4833,106.6,0.3955936231884058,33,6.1,41,1.0
Hậu Giang,2016,28.005081967213115,2.178106345782256,33.93,23.84,42.0,18.9,78.34524590163934,14.652046519160454,72.80893442622951,1782.16,42.82,7.318639744730721,0.7480601092896175,23.97177595628415,117,0,193,17,98,6589.86,9.18639175257732,0.2684931506849315,0.3205479452054794,1026.62,28.135424657534248,6619.43,Lúa,6.088031651829872,3.0,50,9.784,105.47,0.3991228985507246,36,5.6,35,0.0
Lâm Đồng,2018,25.785561643835614,1.8678766591799827,31.4,21.76,41.13,14.27,77.95221917808219,14.142765002991853,75.88520547945205,1479.89,68.36,7.255026342382346,0.6274794520547945,24.19572602739726,66,0,164,17,100,5761.73,8.969030303030303,0.273972602739726,0.1808219178082191,1254.08,25.78158904109589,5760.28,Lúa hè thu,5.610169491525424,844.0,10,11.5714,107.8091,0.6304655072463768,41,5.4,34,0.4
Kiên Giang,2020,28.10379781420765,1.5633722078823031,32.24,22.62,38.28,20.62,78.70814207650274,10.497859160306072,74.72387978142076,2743.91,295.01,19.89435602856503,0.799207650273224,24.04226775956284,82,0,231,26,31,6625.99,11.827198275862068,0.084931506849315,0.2246575342465753,2177.28,27.883123287671232,6527.34,Mía,53.51964144476668,8.0,40,9.9167,105.15,0.5305359420289855,39,5.1,27,0.8
Trà Vinh,2012,27.17125683060109,0.9980232817142248,30.42,24.78,36.32,21.65,82.31210382513662,6.694411220502595,67.16969945355191,1473.64,44.13,6.191681714145609,0.6799453551912568,24.06915300546448,6,0,199,13,77,6284.68,7.368200000000001,0.210958904109589,0.0164383561643835,1387.45,26.93339726027397,6180.69,Ngô,4.763636363636364,6.0,50,9.9414,106.3364,0.441956231884058,32,5.8,36,0.4
Trà Vinh,2020,27.64229508196721,1.4968735199093777,32.14,21.91,38.35,19.14,80.10174863387978,9.86175183538243,70.68674863387977,2700.84,250.09,19.214437910757745,0.7308743169398907,24.370054644808743,35,0,212,32,52,6457.08,12.68,0.1424657534246575,0.0958904109589041,1951.67,27.411479452054795,6355.19,Lúa đông xuân,3.5421487603305786,6.0,50,9.9414,106.3364,0.441956231884058,32,5.8,36,0.4
Ninh Bình,2019,24.73065753424658,4.5783112205697645,31.01,10.76,36.9,7.45,84.82564383561645,5.9358087698239785,78.34890410958904,1566.94,54.55,7.581574187225581,0.808931506849315,21.587287671232875,1,10,195,18,33,5376.69,7.994591836734694,0.0904109589041095,0.0027397260273972,2018.18,23.89695890410959,5073.61,Mía,64.85507246376811,7.0,50,20.252,105.975,0.2851938953488372,28,5.9,42,0.2
