Province,Year,T2M_mean,T2M_std,T2M_max,T2M_min,T2M_MAX_max,T2M_MIN_min,RH2M_mean,RH2M_std,CLOUD_AMT_mean,PRECTOTCORR_sum,PRECTOTCORR_max,PRECTOTCORR_std,GWETPROF_mean,CLRSKY_SFC_SW_DWN_mean,hot_day_sum,cold_day_sum,rainy_day_sum,heavy_rain_sum,dry_day_sum,low_moisture_sum,GDD_sum,rain_intensity,dry_ratio,hot_ratio,PRECTOTCORR_sum_lag1,T2M_mean_lag1,GDD_sum_lag1,Commodity,Value,Elevation,Landcover,Ndvi_mean,Soil_clay,Soil_ph,Soil_sand,Soil_soc,Price,Revenue,Label
Bình Dương,2013,27.651342465753423,1.874664982664949,32.89,23.45,40.27,17.6,75.15038356164384,11.358324626194433,73.94013698630137,1012.22,32.26,5.112107087346407,0.5783561643835616,23.818,92,0,148,11,106,0,6442.74,6.793422818791947,0.2904109589041095,0.2520547945205479,1617.72,26.93650273224044,6198.76,Lúa đông xuân,13200.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,6157000.0,81272400000.0,Lúa
Bình Dương,2013,27.651342465753423,1.874664982664949,32.89,23.45,40.27,17.6,75.15038356164384,11.358324626194433,73.94013698630137,1012.22,32.26,5.112107087346407,0.5783561643835616,23.818,92,0,148,11,106,0,6442.74,6.793422818791947,0.2904109589041095,0.2520547945205479,1617.72,26.93650273224044,6198.76,Sắn,74700.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,2778000.0,207516600000.0,Lúa
Bình Dương,2013,27.651342465753423,1.874664982664949,32.89,23.45,40.27,17.6,75.15038356164384,11.358324626194433,73.94013698630137,1012.22,32.26,5.112107087346407,0.5783561643835616,23.818,92,0,148,11,106,0,6442.74,6.793422818791947,0.2904109589041095,0.2520547945205479,1617.72,26.93650273224044,6198.76,Lúa thu đông,6800.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,6157000.0,41867600000.0,Lúa
Bình Dương,2014,28.002082191780826,1.891671173431258,33.25,23.5,41.1,16.94,72.51293150684931,12.763027449604648,68.50956164383562,1070.81,49.33,6.618344538495057,0.5801643835616438,23.907780821917807,120,0,128,12,123,0,6570.76,8.300852713178294,0.336986301369863,0.3287671232876712,1012.22,27.651342465753423,6442.74,Lúa mùa,14900.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,6446000.0,96045400000.0,Sắn
Bình Dương,2014,28.002082191780826,1.891671173431258,33.25,23.5,41.1,16.94,72.51293150684931,12.763027449604648,68.50956164383562,1070.81,49.33,6.618344538495057,0.5801643835616438,23.907780821917807,120,0,128,12,123,0,6570.76,8.300852713178294,0.336986301369863,0.3287671232876712,1012.22,27.651342465753423,6442.74,Ngô,700.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,7262000.0,5083400000.0,Sắn
Bình Dương,2014,28.002082191780826,1.891671173431258,33.25,23.5,41.1,16.94,72.51293150684931,12.763027449604648,68.50956164383562,1070.81,49.33,6.618344538495057,0.5801643835616438,23.907780821917807,120,0,128,12,123,0,6570.76,8.300852713178294,0.336986301369863,0.3287671232876712,1012.22,27.651342465753423,6442.74,Lúa,34100.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,6446000.0,219808600000.0,Sắn
Bình Dương,2014,28.002082191780826,1.891671173431258,33.25,23.5,41.1,16.94,72.51293150684931,12.763027449604648,68.50956164383562,1070.81,49.33,6.618344538495057,0.5801643835616438,23.907780821917807,120,0,128,12,123,0,6570.76,8.300852713178294,0.336986301369863,0.3287671232876712,1012.22,27.651342465753423,6442.74,Lúa hè thu,6700.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,6446000.0,43188200000.0,Sắn
Bình Dương,2014,28.002082191780826,1.891671173431258,33.25,23.5,41.1,16.94,72.51293150684931,12.763027449604648,68.50956164383562,1070.81,49.33,6.618344538495057,0.5801643835616438,23.907780821917807,120,0,128,12,123,0,6570.76,8.300852713178294,0.336986301369863,0.3287671232876712,1012.22,27.651342465753423,6442.74,Khoai lang,1600.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,6951000.0,11121600000.0,Sắn
Bình Dương,2014,28.002082191780826,1.891671173431258,33.25,23.5,41.1,16.94,72.51293150684931,12.763027449604648,68.50956164383562,1070.81,49.33,6.618344538495057,0.5801643835616438,23.907780821917807,120,0,128,12,123,0,6570.76,8.300852713178294,0.336986301369863,0.3287671232876712,1012.22,27.651342465753423,6442.74,Lúa đông xuân,12500.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,6446000.0,80575000000.0,Sắn
Bình Dương,2014,28.002082191780826,1.891671173431258,33.25,23.5,41.1,16.94,72.51293150684931,12.763027449604648,68.50956164383562,1070.81,49.33,6.618344538495057,0.5801643835616438,23.907780821917807,120,0,128,12,123,0,6570.76,8.300852713178294,0.336986301369863,0.3287671232876712,1012.22,27.651342465753423,6442.74,Sắn,82600.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,2908000.0,240200800000.0,Sắn
