"Diện tích gieo trồng lúa đông xuân phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Tiền Giang",82.6,82.7,81.9,81.0,80.6,79.3,77.4,75.1,74.2,71.6,68.8,64.9,57.6,51.7,49.2,48.2
"Bến Tre",20.6,21.1,21.1,20.2,20.0,19.0,18.1,17.2,15.1,15.7,13.8,12.8,5.3,11.0,0.8,1.1
"Trà Vinh",53.7,56.1,59.5,61.1,58.2,64.5,66.4,68.9,68.8,59.9,66.4,68.6,60.5,59.7,63.3,62.1
"Vĩnh Long",68.2,67.6,66.9,65.8,63.8,63.5,61.5,61.0,61.2,59.0,56.2,55.2,52.4,47.5,46.4,39.8
"Đồng Tháp",208.0,207.2,207.7,206.9,208.3,208.2,207.4,204.9,208.8,208.9,205.7,205.4,200.6,196.1,189.3,190.2
"An Giang",231.7,234.1,234.2,235.5,235.9,238.1,237.5,238.6,239.3,236.2,235.0,233.7,229.4,230.4,229.8,227.7
"Kiên Giang",270.2,277.8,283.9,287.2,292.2,300.6,305.9,307.3,301.0,298.8,290.0,289.1,289.8,284.4,283.9,281.0
"Cần Thơ",90.6,90.1,89.8,88.7,87.8,88.0,88.0,87.3,86.7,85.4,82.5,81.3,79.3,77.2,76.0,75.0
"Hậu Giang",81.6,82.3,84.3,83.0,77.9,79.9,77.5,80.0,79.4,77.9,78.0,78.4,77.8,77.0,76.6,75.5
"Sóc Trăng",139.3,138.6,139.6,138.3,138.8,141.3,141.3,196.7,189.3,183.9,193.4,198.5,183.0,174.3,182.2,174.5
"Bắc Liêu",40.0,42.2,44.6,45.8,54.6,49.3,46.2,46.6,45.6,46.3,48.4,48.3,47.5,48.8,48.2,43.3
"Cà Mau",..,..,..,..,..,..,..,..,..,1.3,..,36.5,36.1,35.7,35.3,35.2
