"Sản lượng lúa mùa phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Trà Vinh",395.8,383.1,430.2,433.8,460.6,467.7,473.7,11.1,10.7,10.7,7.4,10.0,8.7,6.5,5.2,5.1
"Vĩnh Long",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Đồng Tháp",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"An Giang",31.0,28.5,23.3,23.3,29.7,27.4,24.3,19.2,20.1,17.2,0.3,19.0,20.3,20.5,15.2,13.7
"Kiên Giang",236.0,237.4,237.1,202.0,274.9,282.6,280.3,283.3,107.5,136.4,266.4,319.3,321.8,265.5,361.8,366.5
"Cần Thơ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hậu Giang",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sóc Trăng",95.3,116.4,99.1,103.7,127.4,158.6,153.2,69.3,68.8,64.0,61.6,57.6,59.9,57.1,54.0,55.8
"Bắc Liêu",297.1,316.6,270.6,302.5,341.2,383.7,392.2,140.5,120.9,149.0,162.0,181.9,221.6,239.9,252.0,271.5
"Cà Mau",341.8,361.7,344.7,380.2,385.2,405.5,393.5,313.1,285.8,285.8,380.1,159.9,99.4,54.9,166.0,175.2
