"Diện tích gieo trồng khoai lang phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Bình Phước",0.7,0.9,0.8,0.7,0.5,0.5,0.4,0.4,0.5,0.7,529.0,552.0,481.0,584.0,467.5,67.8
"Tây Ninh",0.6,0.4,0.4,0.5,0.3,0.2,0.0,0.0,0.0,..,6.0,260.0,66.0,28.0,1.0,4.6
"Bình Dương",0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,188.0,190.0,173.0,175.0,181.3,159.3
"Đồng Nai",0.3,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.3,445.0,460.0,285.0,216.0,229.0,224.3
"Bà Rịa - Vũng Tàu",0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.3,0.3,0.2,293.0,293.0,22.0,91.0,39.7,45.3
"TP.Hồ Chí Minh",0.0,0.0,0.0,0.0,..,..,..,0.1,0.1,0.0,54.0,33.0,30.0,23.0,16.1,18.4
"Đồng bằng sông Cửu Long",12.7,14.2,14.9,17.9,22.4,19.8,23.1,21.4,19.8,23.6,23966.0,22702.0,20766.0,16092.0,5769.7,5324.1
"Long An",0.1,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.2,0.1,8.0,9.0,8.0,11.0,51.4,31.5
"Tiền Giang",0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.4,444.0,434.0,432.0,341.0,174.4,174.8
"Bến Tre",0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,51.0,41.0,24.0,43.0,48.2,42.8
"Trà Vinh",1.8,2.1,1.8,1.8,1.8,1.6,1.5,1.4,1.2,1.2,1206.0,1134.0,1202.0,1217.0,1313.0,1394.6
"Vĩnh Long",5.0,5.1,5.8,8.5,11.8,10.1,11.9,11.3,11.0,13.8,14718.0,13843.0,12803.0,8444.0,991.8,1091.9
"Đồng Tháp",0.5,1.2,1.0,1.7,2.4,2.9,4.5,3.6,2.7,3.8,3639.0,3737.0,3452.0,3561.0,713.3,547.5
"An Giang",0.2,0.1,0.2,0.3,0.3,0.3,0.7,0.2,0.2,0.3,169.0,176.0,149.0,98.0,108.1,97.5
"Kiên Giang",0.8,1.0,1.5,0.8,1.0,1.3,1.1,1.5,1.5,1.5,1352.0,1340.0,1422.0,1348.0,1244.2,1044.9
"Cần Thơ",0.1,0.0,0.0,0.2,0.9,0.1,0.0,0.0,0.0,0.0,40.0,23.0,17.0,35.0,53.7,48.3
"Hậu Giang",0.9,0.7,0.6,0.5,0.4,0.4,0.2,0.2,0.1,0.1,141.0,68.0,28.0,18.0,55.0,44.1
"Sóc Trăng",2.0,2.5,2.6,2.7,2.4,2.1,2.0,1.9,1.7,1.6,1491.0,1182.0,626.0,459.0,514.1,457.0
"Bắc Liêu",0.6,0.6,0.6,0.6,0.6,0.4,0.6,0.5,0.5,0.5,528.0,530.0,449.0,368.0,361.4,209.7
"Cà Mau",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,179.0,185.0,155.0,148.0,141.3,139.6
