"Sản lượng lương thực có hạt phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Trà Vinh",1115.4,1102.8,1183.0,1184.3,1284.2,1303.2,1356.6,1369.5,978.8,1159.6,1288.4,1279.4,960.3,1170.4,1079.5,1133.7
"Vĩnh Long",898.3,913.9,931.7,1035.5,1082.9,1066.3,1089.8,1097.6,941.7,945.9,973.4,912.4,898.8,821.6,683.6,680.8
"Đồng Tháp",2759.0,2681.5,2832.0,3131.8,3085.2,3366.0,3336.4,3419.8,3434.1,3248.7,3365.7,3393.3,3418.7,3374.8,3270.5,3367.1
"An Giang",3599.4,3486.6,3721.5,3933.6,4017.4,4103.3,4100.4,4137.5,4035.7,3942.7,3987.9,3963.4,4058.5,4184.7,3996.1,4109.8
"Kiên Giang",3387.3,3397.9,3497.3,3921.4,4287.4,4472.5,4532.9,4644.2,4162.9,4060.5,4268.9,4292.9,4530.2,4518.4,4407.5,4564.3
"Cần Thơ",1203.5,1143.2,1201.7,1295.2,1325.3,1376.5,1373.2,1413.7,1403.6,1392.8,1432.3,1370.9,1398.7,1421.0,1372.9,1368.1
"Hậu Giang",1029.1,1003.5,1098.5,1136.5,1190.2,1201.7,1217.9,1307.4,1246.0,1276.1,1261.9,1277.9,1312.7,1292.9,1270.8,1202.4
"Sóc Trăng",1752.9,1795.3,1980.9,2104.4,2265.9,2235.9,2280.0,2291.9,2131.0,2122.0,2149.4,2189.8,2091.8,2068.7,2052.8,2086.0
"Bắc Liêu",765.1,821.0,810.2,909.6,987.3,1018.8,1037.8,1065.3,993.9,1065.7,1116.3,1148.6,1172.1,1227.5,1199.1,1240.3
"Cà Mau",483.3,504.2,499.3,542.4,557.7,568.3,553.8,467.1,454.1,448.3,533.2,528.3,449.9,461.9,547.1,571.7
