"Năng suất gieo trồng lúa mùa phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Đồng Nai",41.2,44.1,45.2,46.7,47.8,47.5,49.8,50.9,51.4,52.2,53.0,54.2,54.5,55.3,56.0,57.5
"Bà Rịa - Vũng Tàu",33.4,37.2,34.7,36.5,36.6,38.6,42.1,43.6,44.6,44.8,48.6,54.8,49.2,56.4,55.3,62.3
"TP.Hồ Chí Minh",33.0,33.0,33.4,35.2,37.5,38.7,39.5,40.5,40.5,42.6,43.7,45.8,48.5,48.7,50.5,52.1
"Đồng bằng sông Cửu Long",40.3,39.2,42.5,43.4,46.2,46.9,47.7,40.6,32.4,37.9,46.1,45.5,44.9,44.1,51.5,51.4
"Long An",30.6,18.9,32.0,33.2,36.0,35.0,36.6,35.3,23.9,28.2,31.8,36.7,37.2,34.7,41.3,40.8
"Tiền Giang",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bến Tre",40.9,39.7,43.1,44.3,45.9,44.5,45.0,42.8,20.7,35.5,31.0,35.9,36.3,30.0,40.8,40.6
"Trà Vinh",43.8,41.0,46.9,47.7,51.8,51.7,53.1,42.7,44.6,44.6,43.5,45.5,37.8,50.0,47.4,44.3
"Vĩnh Long",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Đồng Tháp",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"An Giang",38.3,37.5,43.1,43.1,50.3,50.7,47.6,36.2,40.2,34.4,30.0,39.6,42.3,45.6,42.1,39.1
"Kiên Giang",39.3,38.2,38.1,37.1,42.7,42.9,44.9,45.0,17.9,28.8,45.5,49.8,51.4,45.5,53.8,53.5
"Cần Thơ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hậu Giang",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sóc Trăng",42.7,43.3,45.5,43.9,47.9,50.3,50.1,51.0,48.8,51.2,51.3,50.1,51.2,50.5,50.9,51.1
"Bắc Liêu",45.1,46.2,47.6,48.2,50.0,50.4,50.3,43.6,41.8,47.6,48.1,49.4,56.0,60.9,60.7,58.4
"Cà Mau",35.4,35.2,38.3,40.1,41.2,43.0,43.4,34.7,38.1,38.1,47.0,37.2,24.5,18.9,41.0,42.9
