"Sản lượng lúa cả năm phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Đồng Nai",333.1,337.9,322.9,336.2,342.7,332.5,337.3,337.2,331.5,329.1,325.3,330.5,319.9,314.7,312.2,310.3
"Bà Rịa - Vũng Tàu",85.5,95.3,84.5,95.4,99.7,99.1,105.6,116.0,120.7,122.1,129.8,136.2,131.0,139.5,139.0,149.4
"TP.Hồ Chí Minh",110.9,100.0,91.7,85.8,93.0,90.3,88.6,88.3,85.2,86.4,79.1,81.2,83.6,83.7,84.5,86.4
"Đồng bằng sông Cửu Long",20669.5,20523.2,21595.6,23269.5,24320.8,25021.1,25245.6,25583.7,23774.9,23609.0,24506.9,24310.0,23827.6,24327.3,23536.2,24156.4
"Long An",2178.1,2158.6,2304.8,2550.7,2663.5,2816.1,2860.6,2918.7,2802.2,2643.2,2802.6,2774.9,2830.2,2925.6,2861.1,3081.0
"Tiền Giang",1321.0,1308.0,1320.6,1332.8,1370.0,1348.7,1370.3,1344.4,1268.1,1249.3,1254.5,1123.1,801.2,836.2,838.5,791.0
"Bến Tre",361.1,362.7,366.8,362.2,375.0,331.6,318.9,278.8,87.6,227.2,236.7,214.1,59.1,166.6,110.8,109.7
"Trà Vinh",1086.7,1076.8,1156.0,1155.3,1258.0,1274.8,1326.9,1339.5,956.3,1137.4,1268.0,1258.9,939.7,1148.9,1057.0,1110.3
"Vĩnh Long",896.1,911.4,928.9,1032.3,1079.6,1063.7,1087.2,1094.7,938.7,942.5,969.5,908.3,895.1,817.9,679.7,676.2
"Đồng Tháp",2720.2,2650.4,2807.0,3100.2,3051.8,3327.0,3300.0,3384.5,3396.8,3206.8,3330.2,3349.8,3374.5,3339.8,3235.0,3325.3
"An Giang",3513.8,3421.5,3653.1,3856.8,3941.6,4021.4,4022.9,4073.7,3974.7,3879.6,3926.9,3919.3,4014.1,4143.0,3943.7,4067.7
"Kiên Giang",3387.2,3397.7,3497.1,3921.1,4287.1,4471.8,4532.2,4643.0,4161.6,4058.8,4267.4,4291.5,4528.5,4516.6,4405.4,4561.9
"Cần Thơ",1198.5,1138.1,1196.7,1289.7,1319.8,1370.3,1367.7,1408.1,1397.8,1387.2,1426.3,1365.9,1393.2,1414.2,1366.7,1362.2
"Hậu Giang",1020.1,993.8,1090.2,1128.5,1179.9,1191.3,1204.6,1293.1,1231.0,1261.0,1246.1,1259.0,1294.1,1274.4,1253.9,1186.7
"Sóc Trăng",1739.5,1780.4,1966.6,2090.6,2251.8,2220.0,2265.3,2275.5,2115.0,2105.1,2132.7,2172.1,2079.8,2058.7,2042.6,2077.2
"Bắc Liêu",764.4,820.3,809.5,908.9,986.7,1017.9,1037.0,1064.5,993.1,1064.9,1115.3,1147.6,1171.2,1226.5,1197.9,1239.0
"Cà Mau",482.8,503.5,498.3,540.4,556.0,566.5,552.0,465.2,452.0,446.0,530.7,525.5,446.9,459.0,544.0,568.4
