"Diện tích gieo trồng cây lương thực có hạt phân theo địa phương chia theo Tỉnh, thành phố và Năm"

"Tỉnh, thành phố","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Bến Tre",79.9,82.0,81.1,77.9,76.7,72.9,67.3,63.7,42.2,55.5,52.3,47.8,22.2,36.7,23.8,22.3
"Trà Vinh",232.2,237.5,237.9,238.7,232.9,240.9,241.2,241.4,214.8,224.4,227.1,228.0,208.8,212.8,202.8,207.2
"Vĩnh Long",178.5,177.9,171.3,183.0,187.4,183.0,181.3,181.7,177.7,170.8,163.5,157.0,147.2,135.8,113.7,114.1
"Đồng Tháp",473.2,455.0,468.8,506.0,492.2,546.9,533.3,550.5,556.1,543.5,524.7,526.8,519.1,508.3,486.1,503.1
"An Giang",576.0,566.5,596.4,618.0,635.8,652.7,635.4,652.8,677.1,649.4,630.6,632.2,642.9,630.1,610.6,621.7
"Kiên Giang",609.2,622.2,642.7,687.0,725.2,770.5,753.7,769.7,766.3,735.6,728.7,722.2,726.2,716.0,700.0,713.2
"Cần Thơ",219.6,209.9,210.4,225.8,229.3,237.8,233.3,239.0,241.1,241.2,238.4,226.0,223.9,223.5,217.4,217.2
"Hậu Giang",205.0,193.2,212.5,214.4,216.3,214.2,208.0,210.0,205.5,209.8,197.8,199.3,201.2,192.0,190.9,180.5
"Sóc Trăng",326.0,338.5,353.3,352.7,369.7,377.7,367.7,366.9,360.6,352.4,356.0,360.6,356.5,330.1,335.1,332.3
"Bắc Liêu",155.2,166.6,158.4,164.4,178.8,182.0,180.4,180.7,172.5,180.8,185.2,189.4,187.8,191.2,189.1,191.8
"Cà Mau",133.1,139.2,125.8,130.8,129.7,130.3,127.9,127.1,112.8,113.6,117.9,116.2,113.0,100.7,111.6,112.0
